Symbol,Name,LastSale,IPOyear,MarketCap,Sector,Industry,Exchange
CVGW,"Calavo Growers, Inc.",81.06,,1423979723.04,Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
CALM,"Cal-Maine Foods, Inc.",43.23,1996.0,2102185111.29,Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
CSIQ,Canadian Solar Inc.,18.03,2006.0,1056229222.95,Technology,Semiconductors,NASDAQ
CFFN,"Capitol Federal Financial, Inc.",13.64,,1926557779.96,Finance,Savings Institutions,NASDAQ
CBLK,"Carbon Black, Inc.",14.3,2018.0,971217833.3,Technology,Computer Software: Prepackaged Software,NASDAQ
CARB,"Carbonite, Inc.",28.17,2011.0,973496888.1,Technology,EDP Services,NASDAQ
CSII,"Cardiovascular Systems, Inc.",29.14,1981.0,1011197222.44,Health Care,Medical/Dental Instruments,NASDAQ
CATM,Cardtronics plc,30.33,2007.0,1398434772.96,Miscellaneous,Business Services,NASDAQ
CDNA,"CareDx, Inc.",24.62,2014.0,1014386961.9,Health Care,Medical Specialities,NASDAQ
CECO,Career Education Corporation,12.85,1998.0,896428747.2,Consumer Services,Other Consumer Services,NASDAQ
CTRE,"CareTrust REIT, Inc.",20.22,,1696130799.96,Consumer Services,Real Estate Investment Trusts,NASDAQ
CARG,"CarGurus, Inc.",38.43,2017.0,4230299346.21,Technology,EDP Services,NASDAQ
CRZO,"Carrizo Oil & Gas, Inc.",12.53,1997.0,1148067915.96,Energy,Oil & Gas Production,NASDAQ
CASA,"Casa Systems, Inc.",11.2,2017.0,927078331.2,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
CWST,"Casella Waste Systems, Inc.",31.73,1997.0,1361858644.06,Public Utilities,Environmental Services,NASDAQ
CASY,"Caseys General Stores, Inc.",134.03,1983.0,4906235969.18,Consumer Durables,Automotive Aftermarket,NASDAQ
CATY,Cathay General Bancorp,37.67,,3054125499.01,Finance,Major Banks,NASDAQ
CVCO,"Cavco Industries, Inc.",149.25,,1357900230.75,Basic Industries,Homebuilding,NASDAQ
CBOE,"Cboe Global Markets, Inc.",95.09,2010.0,10632844937.5,,,NASDAQ
CDK,"CDK Global, Inc.",50.24,,6469578379.2,Miscellaneous,Business Services,NASDAQ
CDW,CDW Corporation,81.69,2013.0,12252255779.61,Consumer Services,Catalog/Specialty Distribution,NASDAQ
CELG,Celgene Corporation,86.27,1987.0,60409597652.66,Health Care,Major Pharmaceuticals,NASDAQ
CDEV,"Centennial Resource Development, Inc.",14.2,2016.0,3922900094.0,Energy,Oil & Gas Production,NASDAQ
CSFL,CenterState Bank Corporation,23.87,,2284156319.83,Finance,Major Banks,NASDAQ
CENT,Central Garden & Pet Company,39.43,1993.0,2279571242.74,Consumer Durables,Consumer Specialties,NASDAQ
CENTA,Central Garden & Pet Company,36.16,,2090522346.88,Consumer Durables,Consumer Specialties,NASDAQ
CERN,Cerner Corporation,54.06,1986.0,17812136633.04,Technology,EDP Services,NASDAQ
GTLS,"Chart Industries, Inc.",73.26,2006.0,2286009508.86,Capital Goods,Metal Fabrications,NASDAQ
CHTR,"Charter Communications, Inc.",291.4,,66706615740.2,Consumer Services,Television Services,NASDAQ
CHKP,Check Point Software Technologies Ltd.,106.84,1996.0,16991266065.92,Technology,Computer Software: Prepackaged Software,NASDAQ
CHFC,Chemical Financial Corporation,43.64,,3117878434.28,Finance,Major Banks,NASDAQ
PLCE,"Children&#39;s Place, Inc. (The)",90.93,1997.0,1472543334.36,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
CBPO,"China Biologic Products Holdings, Inc.",81.18,,3195351632.88,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
CHDN,"Churchill Downs, Incorporated",267.14,,3625562637.8,Consumer Services,Services-Misc. Amusement & Recreation,NASDAQ
CMPR,Cimpress N.V,119.99,,3708795747.93,Miscellaneous,Publishing,NASDAQ
CINF,Cincinnati Financial Corporation,80.35,,13075974596.75,Finance,Property-Casualty Insurers,NASDAQ
CTAS,Cintas Corporation,184.91,1983.0,19331211624.45,Consumer Non-Durables,Apparel,NASDAQ
CRUS,"Cirrus Logic, Inc.",36.65,1989.0,2193293558.35,Technology,Semiconductors,NASDAQ
CSCO,"Cisco Systems, Inc.",45.03,1990.0,202453156701.9,Technology,Computer Communications Equipment,NASDAQ
CTXS,"Citrix Systems, Inc.",108.74,1995.0,14653996718.38,Technology,Computer Software: Prepackaged Software,NASDAQ
CHCO,City Holding Company,70.76,,1171846029.04,Finance,Major Banks,NASDAQ
CLVS,"Clovis Oncology, Inc.",24.0,2011.0,1265083848.0,Health Care,Major Pharmaceuticals,NASDAQ
CME,CME Group Inc.,183.43,2002.0,65627002276.03,Finance,Investment Bankers/Brokers/Service,NASDAQ
COKE,"Coca-Cola Consolidated, Inc.",207.45,1972.0,1940583764.25,Consumer Non-Durables,Beverages (Production/Distribution),NASDAQ
CDXS,"Codexis, Inc.",17.0,2010.0,918273666.0,Basic Industries,Major Chemicals,NASDAQ
CCOI,"Cogent Communications Holdings, Inc.",48.68,,2262250680.28,Consumer Services,Telecommunications Equipment,NASDAQ
CGNX,Cognex Corporation,42.94,1989.0,7393889569.78,Capital Goods,Industrial Machinery/Components,NASDAQ
CTSH,Cognizant Technology Solutions Corporation,67.82,1998.0,39269679570.38,Technology,EDP Services,NASDAQ
COHR,"Coherent, Inc.",120.33,,2927218454.37,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
CIGI,Colliers International Group Inc. ,61.44,,2327036436.48,Finance,Real Estate,NASDAQ
COLB,"Columbia Banking System, Inc.",38.29,1992.0,2805040204.75,Finance,Major Banks,NASDAQ
CLBK,"Columbia Financial, Inc.",15.01,2018.0,1739496516.75,Finance,Savings Institutions,NASDAQ
COLM,Columbia Sportswear Company,86.09,1998.0,5940665846.55,Consumer Non-Durables,Apparel,NASDAQ
CMCSA,Comcast Corporation,36.21,,164737567685.49,Consumer Services,Television Services,NASDAQ
CBSH,"Commerce Bancshares, Inc.",61.61,,6871915079.16,Finance,Major Banks,NASDAQ
CBSHP,"Commerce Bancshares, Inc.",25.62,,2347827150.48,Finance,Major Banks,NASDAQ
COMM,"CommScope Holding Company, Inc.",19.05,2013.0,3661850893.2,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
CVLT,"Commvault Systems, Inc.",62.53,2006.0,2894410775.62,Technology,Computer Software: Prepackaged Software,NASDAQ
SCOR,"comScore, Inc.",17.7,2018.0,1042648855.5,Miscellaneous,Business Services,NASDAQ
CNMD,CONMED Corporation,66.64,1987.0,1874494702.08,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
CPRT,"Copart, Inc.",50.06,1994.0,11714814928.8,Consumer Durables,Automotive Aftermarket,NASDAQ
CORT,Corcept Therapeutics Incorporated,14.94,1982.0,1725148662.12,Health Care,Major Pharmaceuticals,NASDAQ
CORE,"Core-Mark Holding Company, Inc.",28.74,,1313524481.7,Consumer Non-Durables,Food Distributors,NASDAQ
CSOD,"Cornerstone OnDemand, Inc.",54.71,2011.0,3206674665.62,Technology,Computer Software: Prepackaged Software,NASDAQ
CRVL,CorVel Corp.,64.21,,1203827829.32,Finance,Specialty Insurers,NASDAQ
CSGP,"CoStar Group, Inc.",380.1,1998.0,13843161038.7,Miscellaneous,Business Services,NASDAQ
COST,Costco Wholesale Corporation,213.59,,94084361196.02,Consumer Services,Department/Specialty Retail Stores,NASDAQ
COUP,Coupa Software Incorporated,76.66,2016.0,4557043274.24,Technology,Computer Software: Prepackaged Software,NASDAQ
